"Date","Price","Open","High","Low","Change %"
"02/23/2018","16.844","16.844","16.844","16.844","0.00%"
"02/22/2018","16.844","16.844","16.844","16.844","1.36%"
"02/21/2018","16.618","16.618","16.618","16.618","0.00%"
"02/20/2018","16.618","16.618","16.618","16.618","0.00%"
"02/19/2018","16.618","16.618","16.618","16.618","-0.16%"
"02/18/2018","16.644","16.644","16.644","16.644","0.00%"
"02/16/2018","16.644","16.644","16.644","16.644","0.26%"
"02/15/2018","16.601","16.601","16.601","16.601","0.80%"
"02/14/2018","16.469","16.469","16.469","16.469","0.00%"
"02/13/2018","16.469","16.469","16.469","16.469","-0.33%"
"02/12/2018","16.523","16.523","16.523","16.523","0.00%"
"02/11/2018","16.523","16.523","16.523","16.523","0.00%"
"02/09/2018","16.523","16.523","16.523","16.523","-0.01%"
"02/08/2018","16.524","16.524","16.524","16.524","0.01%"
"02/07/2018","16.523","16.523","16.523","16.523","0.00%"
"02/06/2018","16.523","16.523","16.523","16.523","0.00%"
"02/05/2018","16.523","16.523","16.523","16.523","-1.25%"
"02/04/2018","16.733","16.733","16.733","16.733","0.00%"
"02/02/2018","16.733","16.733","16.733","16.733","0.00%"
"02/01/2018","16.733","16.733","16.733","16.733","-1.58%"
"01/31/2018","17.001","17.001","17.001","17.001","0.01%"
"01/30/2018","17.000","17.000","17.000","17.000","0.00%"
"01/29/2018","17.000","17.000","17.000","17.000","-2.77%"
"01/28/2018","17.485","17.485","17.485","17.485","0.00%"
"01/26/2018","17.485","17.485","17.485","17.485","0.00%"
"01/25/2018","17.485","17.485","17.485","17.485","-0.06%"
"01/24/2018","17.495","17.495","17.495","17.495","0.00%"
"01/23/2018","17.495","17.495","17.495","17.495","0.00%"
"01/22/2018","17.495","17.495","17.495","17.495","-0.11%"
"01/21/2018","17.514","17.514","17.514","17.514","0.00%"
"01/19/2018","17.514","17.514","17.514","17.514","0.00%"
"01/18/2018","17.514","17.514","17.514","17.514","0.08%"
